participant.id,participant.code,participant.label,assigned_role,group.id,final.offer,final.stage,s1.p1_points,s1.p2_points,s2.p1_points,s2.p2_points,s3.p1_points,s3.p2_points,p1_discounted_points,p2_discounted_points,round_number,
10,502qb8y9,SUB11,P2,9,41,1,59,41,,,,,59,41,4,
11,hoosbwbd,SUB13,P1,3,50,1,50,50,,,,,50,50,4,
12,7y4r0mgk,SUB12,P1,5,42,1,58,42,,,,,58,42,4,
14,l9q500py,SUB14,P2,11,40,1,60,40,,,,,60,40,4,
16,0klbfy7w,SUB18,P1,11,40,1,60,40,,,,,60,40,4,
17,nrnoj6qg,SUB21,P2,7,50,1,50,50,,,,,50,50,4,
18,xxbh4lrv,SUB17,P2,3,50,1,50,50,,,,,50,50,4,
19,v2i3lbyw,SUB20,P1,6,20,1,80,20,,,,,80,20,4,
20,r33ctke4,SUB24,P1,13,47,1,53,47,,,,,53,47,4,
21,j24dnhl0,SUB22,P2,8,46,1,54,46,,,,,54,46,4,
22,cmlex1p5,SUB23,P1,8,46,1,54,46,,,,,54,46,4,
23,p31wvp65,SUB19,P1,7,50,1,50,50,,,,,50,50,4,
25,bumndept,SUB26,P2,5,42,1,58,42,,,,,58,42,4,
26,p510d7qp,SUB27,P2,4,40,1,60,40,,,,,60,40,4,
1,1mbbiopp,SUB01,P1,6,50,1,50,50,,,,,50,50,5,
2,dn2p4u55,SUB02,P2,4,35,1,65,35,,,,,65,35,5,
3,pxpnz9t4,SUB03,P1,10,40,1,60,40,,,,,60,40,5,
4,f0vz9i76,SUB04,P2,8,40,1,60,40,,,,,60,40,5,
6,ii6hl0lg,SUB08,P2,12,45,1,55,45,,,,,55,45,5,
7,v85u2gl4,SUB07,P1,2,35,1,65,35,,,,,65,35,5,
8,n611npof,SUB09,P2,5,40,1,60,40,,,,,60,40,5,
9,0vwq6zco,SUB10,P2,2,35,1,65,35,,,,,65,35,5,
10,502qb8y9,SUB11,P2,1,50,1,50,50,,,,,50,50,5,
11,hoosbwbd,SUB13,P1,3,50,1,50,50,,,,,50,50,5,
12,7y4r0mgk,SUB12,P2,7,45,1,55,45,,,,,55,45,5,
14,l9q500py,SUB14,P2,3,50,1,50,50,,,,,50,50,5,
15,2p0g017c,SUB16,P1,4,35,1,65,35,,,,,65,35,5,
16,0klbfy7w,SUB18,P1,8,40,1,60,40,,,,,60,40,5,
