participant.id_in_session,participant.code,participant.label,assigned_role,group.id,final.offer_points,final.stage,s1.p1_points,s1.p2_points,s2.p1_points,s2.p2_points,s3.p1_points,s3.p2_points,p1_discounted_points,p2_discounted_points,round_number,group.history
8,8s4s3qgl,SUB10,P2,8,50,1,50,50,,,,,50,50,10,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
9,o8bxqfyl,SUB11,P2,9,50,1,50,50,,,,,50,50,10,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
10,lljzay9s,SUB09,P2,10,40,1,60,40,,,,,60,40,10,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
12,gkbczgor,SUB12,P2,12,40,1,60,40,,,,,60,40,10,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
13,sno2xyi9,SUB14,P1,13,49,1,51,49,,,,,51,49,10,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 49, ""accepted"": true}]"
14,tmb79jpn,SUB15,P2,14,50,1,50,50,,,,,50,50,10,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
16,q2py44sj,SUB16,P1,16,55,1,45,55,,,,,45,55,10,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 55, ""accepted"": true}]"
17,uzhuss2s,SUB18,P1,17,50,1,50,50,,,,,50,50,10,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
18,z06q3y0q,SUB19,P2,18,30,1,70,30,,,,,70,30,10,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": true}]"
20,3101cn8m,SUB22,P1,20,50,1,50,50,,,,,50,50,10,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
22,3q80v4zt,SUB23,P2,22,50,1,50,50,,,,,50,50,10,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
24,x0yd06i5,SUB25,P2,24,30,1,70,30,,,,,70,30,10,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": true}]"
25,tfqxsoxe,SUB26,P2,25,50,1,50,50,,,,,50,50,10,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
11,q6l3ja4i,SUB13,P2,11,50,2,70,30,50,50,,,30,20,1,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 50, ""accepted"": true}]"
12,gkbczgor,SUB12,P1,12,36,2,50,50,36,64,,,21.6,25.6,1,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 36, ""accepted"": true}]"
14,tmb79jpn,SUB15,P1,14,36,2,55,45,36,64,,,21.6,25.6,1,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 45, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 36, ""accepted"": true}]"
16,q2py44sj,SUB16,P1,16,30,2,50,50,30,70,,,18,28,1,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 30, ""accepted"": true}]"
23,n7uygjoj,SUB24,P1,23,36,2,50,50,36,64,,,21.6,25.6,1,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 36, ""accepted"": true}]"
26,0yx3c7qf,SUB27,P1,26,45,2,70,30,45,55,,,27,22,1,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 45, ""accepted"": true}]"
6,fxxtcili,SUB05,P1,6,36,2,83,17,36,64,,,21.6,25.6,2,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 17, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 36, ""accepted"": true}]"
17,uzhuss2s,SUB18,P1,17,29,2,60,40,29,71,,,17.4,28.4,2,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 29, ""accepted"": true}]"
21,irl2zno9,SUB21,P2,21,40,2,70,30,40,60,,,24,24,2,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 40, ""accepted"": true}]"
22,3q80v4zt,SUB23,P2,22,40,2,60,40,40,60,,,24,24,2,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 40, ""accepted"": true}]"
8,8s4s3qgl,SUB10,P1,8,37,2,55,45,37,63,,,22.2,25.2,3,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 45, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 37, ""accepted"": true}]"
11,q6l3ja4i,SUB13,P1,11,30,2,60,40,30,70,,,18,28,3,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 30, ""accepted"": true}]"
22,3q80v4zt,SUB23,P1,22,60,2,60,40,60,40,,,36,16,3,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 60, ""accepted"": true}]"
1,qgj4ans2,SUB01,P1,1,49,2,49,51,49,51,,,29.4,20.4,4,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 51, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 49, ""accepted"": true}]"
8,8s4s3qgl,SUB10,P1,8,34,2,51,49,34,66,,,20.4,26.4,4,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 49, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 34, ""accepted"": true}]"
9,o8bxqfyl,SUB11,P1,9,39,2,55,45,39,61,,,23.4,24.4,4,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 45, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 39, ""accepted"": true}]"
13,sno2xyi9,SUB14,P1,13,36,2,60,40,36,64,,,21.6,25.6,4,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 36, ""accepted"": true}]"
22,3q80v4zt,SUB23,P2,22,40,2,60,40,40,60,,,24,24,4,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 40, ""accepted"": true}]"
26,0yx3c7qf,SUB27,P1,26,28,2,70,30,28,72,,,16.8,28.8,4,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 28, ""accepted"": true}]"
11,q6l3ja4i,SUB13,P2,11,50,2,70,30,50,50,,,30,20,5,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 50, ""accepted"": true}]"
16,q2py44sj,SUB16,P1,16,25,2,55,45,25,75,,,15,30,5,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 45, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 25, ""accepted"": true}]"
26,0yx3c7qf,SUB27,P1,26,36,2,50,50,36,64,,,21.6,25.6,5,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 36, ""accepted"": true}]"
4,prnf850t,SUB04,P1,4,40,2,70,30,40,60,,,24,24,6,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 40, ""accepted"": true}]"
6,fxxtcili,SUB05,P1,6,36,2,60,40,36,64,,,21.6,25.6,6,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 36, ""accepted"": true}]"
7,ha6kapux,SUB07,P1,7,60,2,83,17,60,40,,,36,16,6,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 17, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 60, ""accepted"": true}]"
10,lljzay9s,SUB09,P1,10,60,2,60,40,60,40,,,36,16,6,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 60, ""accepted"": true}]"
9,o8bxqfyl,SUB11,P1,9,44,2,52,48,44,56,,,26.4,22.4,7,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 48, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 44, ""accepted"": true}]"
12,gkbczgor,SUB12,P1,12,46,2,50,50,46,54,,,27.6,21.6,7,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 46, ""accepted"": true}]"
12,gkbczgor,SUB12,P2,12,50,2,70,30,50,50,,,30,20,8,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 50, ""accepted"": true}]"
26,0yx3c7qf,SUB27,P1,26,24,2,40,60,24,76,,,14.4,30.4,8,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 60, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 24, ""accepted"": true}]"
6,fxxtcili,SUB05,P1,6,30,2,60,40,30,70,,,18,28,10,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 30, ""accepted"": true}]"
26,0yx3c7qf,SUB27,P1,26,36,2,40,60,36,64,,,21.6,25.6,10,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 60, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 36, ""accepted"": true}]"
8,8s4s3qgl,SUB10,P1,8,55,3,55,45,24,76,45,55,16.2,8.8,1,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 45, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 24, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 55, ""accepted"": true}]"
18,z06q3y0q,SUB19,P1,18,50,3,55,45,30,70,50,50,18,8,1,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 45, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 30, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
22,3q80v4zt,SUB23,P1,22,25,3,75,25,30,70,75,25,27,4,1,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 25, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 30, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 25, ""accepted"": true}]"
11,q6l3ja4i,SUB13,P1,11,50,3,70,30,42,58,50,50,18,8,2,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 42, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
15,1wizmznv,SUB17,P1,15,20,3,75,25,24,76,80,20,28.8,3.2,2,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 25, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 24, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 20, ""accepted"": true}]"
24,x0yd06i5,SUB25,P1,24,50,3,70,30,36,64,50,50,18,8,2,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 36, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
5,b8qh05ti,SUB08,P1,5,1,3,60,40,24,76,99,1,35.64,0.16,3,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 24, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 1, ""accepted"": true}]"
9,o8bxqfyl,SUB11,P1,9,50,3,60,40,24,76,50,50,18,8,3,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 24, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
14,tmb79jpn,SUB15,P1,14,20,3,50,50,30,70,80,20,28.8,3.2,3,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 30, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 20, ""accepted"": true}]"
21,irl2zno9,SUB21,P1,21,40,3,50,50,20,80,60,40,21.6,6.4,3,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 20, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
5,b8qh05ti,SUB08,P1,5,1,3,60,40,34,66,99,1,35.64,0.16,4,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 34, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 1, ""accepted"": true}]"
15,1wizmznv,SUB17,P1,15,18,3,65,35,24,76,82,18,29.52,2.88,4,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 35, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 24, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 18, ""accepted"": true}]"
19,jfk37j88,SUB20,P1,19,25,3,60,40,30,70,75,25,27,4,4,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 30, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 25, ""accepted"": true}]"
24,x0yd06i5,SUB25,P2,24,46,3,70,30,40,60,54,46,19.44,7.36,4,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 40, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 46, ""accepted"": true}]"
3,7kjwc9qf,SUB03,P1,3,2,3,65,35,30,70,98,2,35.28,0.32,5,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 35, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 30, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 2, ""accepted"": true}]"
5,b8qh05ti,SUB08,P1,5,1,3,60,40,30,70,99,1,35.64,0.16,5,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 30, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 1, ""accepted"": true}]"
18,z06q3y0q,SUB19,P1,18,30,3,55,45,27,73,70,30,25.2,4.8,5,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 45, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 27, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": true}]"
21,irl2zno9,SUB21,P1,21,20,3,50,50,24,76,80,20,28.8,3.2,5,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 24, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 20, ""accepted"": true}]"
3,7kjwc9qf,SUB03,P1,3,2,3,63,37,27,73,98,2,35.28,0.32,6,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 37, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 27, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 2, ""accepted"": true}]"
9,o8bxqfyl,SUB11,P2,9,34,3,70,30,42,58,66,34,23.76,5.44,6,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 42, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 34, ""accepted"": true}]"
11,q6l3ja4i,SUB13,P1,11,50,3,55,45,30,70,50,50,18,8,6,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 45, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 30, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
24,x0yd06i5,SUB25,P2,24,24,3,95,35,20,80,76,24,27.36,3.84,6,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 35, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 20, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 24, ""accepted"": true}]"
3,7kjwc9qf,SUB03,P1,3,2,3,59,41,28,72,98,2,35.28,0.32,7,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 41, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 28, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 2, ""accepted"": true}]"
4,prnf850t,SUB04,P1,4,20,3,68,32,24,76,80,20,28.8,3.2,7,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 32, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 24, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 20, ""accepted"": true}]"
10,lljzay9s,SUB09,P1,10,20,3,50,50,24,76,80,20,28.8,3.2,7,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 24, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 20, ""accepted"": true}]"
11,q6l3ja4i,SUB13,P1,11,42,3,55,45,28,72,58,42,20.88,6.72,7,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 45, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 28, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 42, ""accepted"": true}]"
15,1wizmznv,SUB17,P1,15,15,3,64,36,40,60,85,15,30.6,2.4,7,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 36, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 40, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 15, ""accepted"": true}]"
3,7kjwc9qf,SUB03,P1,3,1,3,55,45,36,64,99,1,35.64,0.16,8,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 45, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 36, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 1, ""accepted"": true}]"
4,prnf850t,SUB04,P2,4,10,3,70,30,20,80,90,10,32.4,1.6,8,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 20, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 10, ""accepted"": true}]"
19,jfk37j88,SUB20,P1,19,25,3,60,40,24,76,75,25,27,4,8,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 24, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 25, ""accepted"": true}]"
23,n7uygjoj,SUB24,P1,23,45,3,49,51,30,70,55,45,19.8,7.2,8,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 51, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 30, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 45, ""accepted"": true}]"
5,b8qh05ti,SUB08,P1,5,1,3,60,40,36,64,99,1,35.64,0.16,9,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 36, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 1, ""accepted"": true}]"
7,ha6kapux,SUB07,P1,7,1,3,80,20,28,72,99,1,35.64,0.16,9,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 20, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 28, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 1, ""accepted"": true}]"
19,jfk37j88,SUB20,P1,19,25,3,65,35,36,64,75,25,27,4,9,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 35, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 36, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 25, ""accepted"": true}]"
5,b8qh05ti,SUB08,P1,5,1,3,60,40,24,76,99,1,35.64,0.16,10,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 24, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 1, ""accepted"": true}]"
11,q6l3ja4i,SUB13,P1,11,50,3,54,46,28,72,50,50,18,8,10,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 46, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 28, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
15,1wizmznv,SUB17,P1,15,10,3,60,40,29,71,90,10,32.4,1.6,10,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 29, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 10, ""accepted"": true}]"
19,jfk37j88,SUB20,P1,19,25,3,65,35,36,64,75,25,27,4,10,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 35, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 36, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 25, ""accepted"": true}]"
21,irl2zno9,SUB21,P1,21,20,3,50,50,34,66,80,20,28.8,3.2,10,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 34, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 20, ""accepted"": true}]"
23,n7uygjoj,SUB24,P2,23,27,3,70,30,24,76,73,27,26.28,4.32,10,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 24, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 27, ""accepted"": true}]"
1,qgj4ans2,SUB01,P1,1,10,4,60,40,30,70,90,10,0,0,2,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 30, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 10, ""accepted"": false}]"
3,7kjwc9qf,SUB03,P2,3,33,4,67,33,24,76,67,33,0,0,3,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 33, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 24, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 33, ""accepted"": false}]"
20,3101cn8m,SUB22,P1,20,80,4,50,50,12,88,20,80,0,0,3,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 12, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 80, ""accepted"": false}]"
25,tfqxsoxe,SUB26,P2,25,30,4,60,40,0,100,70,30,0,0,4,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 0, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": false}]"
5,b8qh05ti,SUB08,P1,5,1,4,60,40,36,64,99,1,0,0,6,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 36, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 1, ""accepted"": false}]"
19,jfk37j88,SUB20,P1,19,25,4,60,40,30,70,75,25,0,0,6,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 30, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 25, ""accepted"": false}]"
25,tfqxsoxe,SUB26,P2,25,32,4,60,40,40,60,68,32,0,0,6,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 40, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 32, ""accepted"": false}]"
19,jfk37j88,SUB20,P2,19,42,4,70,30,35,65,58,42,0,0,7,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 35, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 42, ""accepted"": false}]"
6,fxxtcili,SUB05,P1,6,1,4,70,30,20,80,99,1,0,0,8,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 20, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 1, ""accepted"": false}]"
22,3q80v4zt,SUB23,P1,22,10,4,50,50,24,76,90,10,0,0,8,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 24, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 10, ""accepted"": false}]"
