participant.id_in_session,participant.code,participant.label,assigned_role,group.id,final.offer_points,final.stage,s1.p1_points,s1.p2_points,s2.p1_points,s2.p2_points,s3.p1_points,s3.p2_points,p1_discounted_points,p2_discounted_points,round_number,group.history
4,prnf850t,SUB04,P2,4,40,1,60,40,,,,,60,40,3,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
6,fxxtcili,SUB05,P2,6,40,1,60,40,,,,,60,40,3,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
7,ha6kapux,SUB07,P1,7,17,1,83,17,,,,,83,17,3,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 17, ""accepted"": true}]"
10,lljzay9s,SUB09,P2,10,50,1,50,50,,,,,50,50,3,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
12,gkbczgor,SUB12,P2,12,50,1,50,50,,,,,50,50,3,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
13,sno2xyi9,SUB14,P2,13,50,1,50,50,,,,,50,50,3,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
15,1wizmznv,SUB17,P2,15,40,1,60,40,,,,,60,40,3,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
16,q2py44sj,SUB16,P2,16,40,1,60,40,,,,,60,40,3,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
17,uzhuss2s,SUB18,P1,17,50,1,50,50,,,,,50,50,3,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
18,z06q3y0q,SUB19,P1,18,50,1,50,50,,,,,50,50,3,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
19,jfk37j88,SUB20,P2,19,40,1,60,40,,,,,60,40,3,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
23,n7uygjoj,SUB24,P2,23,40,1,60,40,,,,,60,40,3,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
24,x0yd06i5,SUB25,P1,24,50,1,50,50,,,,,50,50,3,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
25,tfqxsoxe,SUB26,P2,25,50,1,50,50,,,,,50,50,3,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
26,0yx3c7qf,SUB27,P2,26,25,1,75,25,,,,,75,25,3,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 25, ""accepted"": true}]"
2,y6vt5nki,SUB02,P2,2,30,1,70,30,,,,,70,30,4,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": true}]"
3,7kjwc9qf,SUB03,P2,3,40,1,60,40,,,,,60,40,4,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
4,prnf850t,SUB04,P1,4,32,1,68,32,,,,,68,32,4,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 32, ""accepted"": true}]"
6,fxxtcili,SUB05,P1,6,40,1,60,40,,,,,60,40,4,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
7,ha6kapux,SUB07,P2,7,40,1,60,40,,,,,60,40,4,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
10,lljzay9s,SUB09,P2,10,40,1,60,40,,,,,60,40,4,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
11,q6l3ja4i,SUB13,P1,11,45,1,55,45,,,,,55,45,4,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 45, ""accepted"": true}]"
12,gkbczgor,SUB12,P2,12,50,1,50,50,,,,,50,50,4,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
14,tmb79jpn,SUB15,P2,14,30,1,70,30,,,,,70,30,4,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": true}]"
16,q2py44sj,SUB16,P2,16,40,1,60,40,,,,,60,40,4,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
17,uzhuss2s,SUB18,P1,17,50,1,50,50,,,,,50,50,4,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
18,z06q3y0q,SUB19,P2,18,50,1,50,50,,,,,50,50,4,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
20,3101cn8m,SUB22,P2,20,40,1,60,40,,,,,60,40,4,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
21,irl2zno9,SUB21,P2,21,40,1,60,40,,,,,60,40,4,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
23,n7uygjoj,SUB24,P1,23,54,1,46,54,,,,,46,54,4,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 54, ""accepted"": true}]"
1,qgj4ans2,SUB01,P2,1,40,1,60,40,,,,,60,40,5,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
2,y6vt5nki,SUB02,P2,2,40,1,60,40,,,,,60,40,5,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
4,prnf850t,SUB04,P2,4,40,1,60,40,,,,,60,40,5,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
6,fxxtcili,SUB05,P1,6,40,1,60,40,,,,,60,40,5,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
7,ha6kapux,SUB07,P1,7,17,1,83,17,,,,,83,17,5,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 17, ""accepted"": true}]"
8,8s4s3qgl,SUB10,P2,8,50,1,50,50,,,,,50,50,5,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
9,o8bxqfyl,SUB11,P1,9,48,1,52,48,,,,,52,48,5,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 48, ""accepted"": true}]"
10,lljzay9s,SUB09,P2,10,50,1,50,50,,,,,50,50,5,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
12,gkbczgor,SUB12,P1,12,50,1,50,50,,,,,50,50,5,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
