participant.id_in_session,participant.code,participant.label,assigned_role,group.id_in,final.offer_points,final.stage,s1.p1_points,s1.p2_points,s2.p1_points,s2.p2_points,s3.p1_points,s3.p2_points,p1_discounted_points,p2_discounted_points,round_number,group.history
12,ptghbnc9,SUB14,P1,12,51,1,49,51,,,,,49,51,10,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 51, ""accepted"": true}]"
24,49ru8nb0,SUB26,P1,24,51,1,49,51,,,,,49,51,10,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 51, ""accepted"": true}]"
5,nh7aajh2,SUB08,P1,5,30,2,49,51,30,70,,,18,28,8,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 51, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 30, ""accepted"": true}]"
12,ptghbnc9,SUB14,P1,12,55,1,45,55,,,,,45,55,4,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 55, ""accepted"": true}]"
12,ptghbnc9,SUB14,P1,12,55,1,45,55,,,,,45,55,5,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 55, ""accepted"": true}]"
12,ptghbnc9,SUB14,P1,12,55,1,45,55,,,,,45,55,7,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 55, ""accepted"": true}]"
12,ptghbnc9,SUB14,P1,12,55,1,45,55,,,,,45,55,8,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 55, ""accepted"": true}]"
9,a5d0lckm,SUB10,P1,9,36,2,45,55,36,64,,,21.6,25.6,2,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 55, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 36, ""accepted"": true}]"
1,03lvt6vi,SUB01,P1,1,60,1,40,60,,,,,40,60,4,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 60, ""accepted"": true}]"
10,ic7texjb,SUB11,P1,10,60,1,40,60,,,,,40,60,6,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 60, ""accepted"": true}]"
26,1zh5s3po,SUB25,P1,26,60,1,40,60,,,,,40,60,10,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 60, ""accepted"": true}]"
6,tp33s34j,SUB07,P2,6,37,3,90,10,20,80,63,37,22.68,5.92,6,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 10, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 20, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 37, ""accepted"": true}]"
26,1zh5s3po,SUB25,P2,26,20,1,80,20,,,,,80,20,1,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 20, ""accepted"": true}]"
26,1zh5s3po,SUB25,P2,26,20,1,80,20,,,,,80,20,7,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 20, ""accepted"": true}]"
8,8xbs4gco,SUB05,P2,8,64,2,80,20,64,36,,,38.4,14.4,8,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 20, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 64, ""accepted"": true}]"
11,1jdjqddd,SUB13,P2,11,35,3,80,20,40,60,65,35,23.4,5.6,2,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 20, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 40, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 35, ""accepted"": true}]"
26,1zh5s3po,SUB25,P2,26,42,3,75,25,50,50,58,42,20.88,6.72,4,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 25, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 50, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 42, ""accepted"": true}]"
2,jqjfk2ez,SUB02,P2,2,22,3,75,25,20,80,78,22,28.08,3.52,5,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 25, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 20, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 22, ""accepted"": true}]"
4,u9s293b2,SUB04,P2,4,34,4,75,25,30,70,66,34,0,0,6,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 25, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 30, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 34, ""accepted"": false}]"
18,62mpqbrr,SUB19,P2,18,35,4,75,25,45,55,65,35,0,0,9,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 25, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 45, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 35, ""accepted"": false}]"
10,ic7texjb,SUB11,P2,10,30,1,70,30,,,,,70,30,1,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": true}]"
11,1jdjqddd,SUB13,P2,11,30,1,70,30,,,,,70,30,1,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": true}]"
16,8jqp9j4g,SUB18,P2,16,30,1,70,30,,,,,70,30,1,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": true}]"
10,ic7texjb,SUB11,P2,10,30,1,70,30,,,,,70,30,3,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": true}]"
2,jqjfk2ez,SUB02,P2,2,30,1,70,30,,,,,70,30,4,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": true}]"
3,imt9yc21,SUB03,P2,3,30,1,70,30,,,,,70,30,4,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": true}]"
4,u9s293b2,SUB04,P2,4,30,1,70,30,,,,,70,30,4,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": true}]"
5,nh7aajh2,SUB08,P2,5,30,1,70,30,,,,,70,30,4,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": true}]"
6,tp33s34j,SUB07,P2,6,30,1,70,30,,,,,70,30,5,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": true}]"
11,1jdjqddd,SUB13,P2,11,30,1,70,30,,,,,70,30,5,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": true}]"
26,1zh5s3po,SUB25,P2,26,30,1,70,30,,,,,70,30,5,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": true}]"
15,h9ymerbf,SUB17,P2,15,30,1,70,30,,,,,70,30,7,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": true}]"
16,8jqp9j4g,SUB18,P2,16,30,1,70,30,,,,,70,30,8,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": true}]"
26,1zh5s3po,SUB25,P2,26,30,1,70,30,,,,,70,30,9,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": true}]"
3,imt9yc21,SUB03,P2,3,30,1,70,30,,,,,70,30,10,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": true}]"
4,u9s293b2,SUB04,P2,4,30,1,70,30,,,,,70,30,10,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": true}]"
8,8xbs4gco,SUB05,P2,8,30,1,70,30,,,,,70,30,10,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": true}]"
9,a5d0lckm,SUB10,P2,9,30,1,70,30,,,,,70,30,10,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": true}]"
24,49ru8nb0,SUB26,P2,24,17,3,70,30,10,90,83,17,29.88,2.72,3,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 10, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 17, ""accepted"": true}]"
12,ptghbnc9,SUB14,P2,12,39,3,70,30,42,58,61,39,21.96,6.24,6,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 42, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 39, ""accepted"": true}]"
15,h9ymerbf,SUB17,P2,15,44,3,70,30,40,60,56,44,20.16,7.04,6,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 40, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 44, ""accepted"": true}]"
13,ghobmd5w,SUB12,P2,13,42,3,70,30,45,55,58,42,20.88,6.72,7,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 45, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 42, ""accepted"": true}]"
25,n1afhoo5,SUB27,P2,25,40,3,70,30,35,65,60,40,21.6,6.4,9,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 35, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
19,qjoebw3l,SUB21,P2,19,23,3,70,30,30,70,77,23,27.72,3.68,10,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 30, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 23, ""accepted"": true}]"
