participant.id_in_session,participant.code,participant.label,assigned_role,group.id_in,final.offer_points,final.stage,s1.p1_points,s1.p2_points,s2.p1_points,s2.p2_points,s3.p1_points,s3.p2_points,p1_discounted_points,p2_discounted_points,round_number,group.history
15,h9ymerbf,SUB17,P2,15,50,1,50,50,,,,,50,50,2,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
18,62mpqbrr,SUB19,P2,18,50,1,50,50,,,,,50,50,2,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
19,qjoebw3l,SUB21,P2,19,50,1,50,50,,,,,50,50,2,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
25,n1afhoo5,SUB27,P2,25,50,1,50,50,,,,,50,50,2,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
3,imt9yc21,SUB03,P2,3,50,1,50,50,,,,,50,50,3,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
9,a5d0lckm,SUB10,P2,9,50,1,50,50,,,,,50,50,3,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
20,q4jqgxsk,SUB24,P2,20,50,1,50,50,,,,,50,50,3,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
21,74dlajfd,SUB22,P2,21,50,1,50,50,,,,,50,50,3,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
23,7mv0ktln,SUB23,P2,23,50,1,50,50,,,,,50,50,3,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
25,n1afhoo5,SUB27,P2,25,50,1,50,50,,,,,50,50,3,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
20,q4jqgxsk,SUB24,P2,20,50,1,50,50,,,,,50,50,4,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
21,74dlajfd,SUB22,P2,21,50,1,50,50,,,,,50,50,4,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
25,n1afhoo5,SUB27,P2,25,50,1,50,50,,,,,50,50,4,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
1,03lvt6vi,SUB01,P2,1,50,1,50,50,,,,,50,50,5,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
4,u9s293b2,SUB04,P2,4,50,1,50,50,,,,,50,50,5,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
7,7wdmb5sf,SUB09,P2,7,50,1,50,50,,,,,50,50,5,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
16,8jqp9j4g,SUB18,P2,16,50,1,50,50,,,,,50,50,5,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
22,1pbdj537,SUB20,P2,22,50,1,50,50,,,,,50,50,5,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
1,03lvt6vi,SUB01,P2,1,50,1,50,50,,,,,50,50,6,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
11,1jdjqddd,SUB13,P2,11,50,1,50,50,,,,,50,50,6,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
14,qdz5djn8,SUB15,P2,14,50,1,50,50,,,,,50,50,6,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
19,qjoebw3l,SUB21,P2,19,50,1,50,50,,,,,50,50,6,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
6,tp33s34j,SUB07,P2,6,50,1,50,50,,,,,50,50,7,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
9,a5d0lckm,SUB10,P2,9,50,1,50,50,,,,,50,50,7,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
19,qjoebw3l,SUB21,P2,19,50,1,50,50,,,,,50,50,7,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
2,jqjfk2ez,SUB02,P2,2,50,1,50,50,,,,,50,50,8,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
9,a5d0lckm,SUB10,P2,9,50,1,50,50,,,,,50,50,8,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
13,ghobmd5w,SUB12,P2,13,50,1,50,50,,,,,50,50,8,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
14,qdz5djn8,SUB15,P2,14,50,1,50,50,,,,,50,50,8,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
23,7mv0ktln,SUB23,P2,23,50,1,50,50,,,,,50,50,8,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
1,03lvt6vi,SUB01,P2,1,50,1,50,50,,,,,50,50,9,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
13,ghobmd5w,SUB12,P2,13,50,1,50,50,,,,,50,50,9,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
14,qdz5djn8,SUB15,P2,14,50,1,50,50,,,,,50,50,9,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
23,7mv0ktln,SUB23,P2,23,50,1,50,50,,,,,50,50,9,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
5,nh7aajh2,SUB08,P2,5,50,1,50,50,,,,,50,50,10,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
14,qdz5djn8,SUB15,P2,14,50,1,50,50,,,,,50,50,10,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
